company_id,company
1,5 Star Taxi
2,City Service
3,Flash Cab
4,Medallion Leasin
5,Tac - Yellow Cab Association
6,Taxi Affiliation Services
7,Sun Taxi
8,Blue Ribbon Taxi Association
9,Taxicab Insurance Agency Llc
10,Globe Taxi
11,Chicago Independents
12,Chicago City Taxi Association
13,3591 - 63480 Chuks Cab
14,U Taxicab
15,"Taxicab Insurance Agency, LLC"
16,Choice Taxi Association Inc
17,Choice Taxi Association
18,Tac - Checker Cab Dispatch
19,Top Cab
20,Chicago Taxicab
21,Koam Taxi Association
22,Patriot Taxi Dba Peace Taxi Associat
23,2733 - 74600 Benny Jona
24,312 Medallion Management Corp
25,Setare Inc
26,6574 - Babylon Express Inc.
27,5167 - 71969 5167 Taxi Inc
28,Petani Cab Corp
29,4053 - 40193 Adwar H. Nikola
